name,facing,district,building_year,price_range,transport_rating,amenities_score,has_sea_view,has_mountain_view,school_net,developer,management,layout_diversity,transaction_volume,rental_yield,price_trend,future_supply_pressure,description
映御,卯山酉向,元朗,2018,10000-14000,4,80,False,False,74,恆大,映御管理,中,中,3.1,rising,低,元朗新盤
嘉湖山莊,乾山巽向,天水圍,1992,6000-9000,3,70,False,False,72,長江,嘉湖管理,高,高,3.8,stable,低,天水圍大型屋苑
天富苑,子山午向,天水圍,2000,5000-8000,3,65,False,False,72,房委會,天富管理,中,高,3.7,stable,低,天水圍居屋
天頌苑,子山午向,天水圍,1999,5000-8000,3,66,False,False,72,房委會,天頌管理,中,高,3.7,stable,低,天水圍居屋
天澤邨,子山午向,天水圍,1997,4000-7000,3,65,False,False,72,房委會,天澤管理,中,高,3.8,stable,低,天水圍公屋
天耀邨,子山午向,天水圍,1993,4000-7000,4,68,False,False,72,房委會,天耀管理,中,高,3.8,stable,低,天水圍公屋
天麗苑,子山午向,天水圍,1997,5000-8000,3,65,False,False,72,房委會,天麗管理,中,高,3.7,stable,低,天水圍居屋
天盛苑,子山午向,天水圍,2000,5000-8000,3,66,False,False,72,房委會,天盛管理,中,高,3.7,stable,低,天水圍居屋
天愛苑,子山午向,天水圍,2000,5000-8000,3,66,False,False,72,房委會,天愛管理,中,中,3.7,stable,低,天水圍居屋
天瑞邨,子山午向,天水圍,1993,4000-7000,4,68,False,False,72,房委會,天瑞管理,中,高,3.8,stable,低,天水圍公屋
天華邨,子山午向,天水圍,1999,4000-7000,3,65,False,False,72,房委會,天華管理,中,高,3.8,stable,低,天水圍公屋
天慈邨,子山午向,天水圍,1997,4000-7000,3,65,False,False,72,房委會,天慈管理,中,高,3.8,stable,低,天水圍公屋
天恒邨,子山午向,天水圍,2001,4000-7000,3,66,False,False,72,房委會,天恒管理,中,高,3.7,stable,低,天水圍公屋
天逸邨,子山午向,天水圍,2003,4000-7000,3,65,False,False,72,房委會,天逸管理,中,中,3.8,stable,低,天水圍公屋
天恩邨,子山午向,天水圍,2004,4000-7000,3,66,False,False,72,房委會,天恩管理,中,中,3.7,stable,低,天水圍公屋
天悅邨,子山午向,天水圍,2000,4000-7000,3,65,False,False,72,房委會,天悅管理,中,高,3.8,stable,低,天水圍公屋
天屏邨,子山午向,天水圍,2000,4000-7000,3,66,False,False,72,房委會,天屏管理,中,高,3.7,stable,低,天水圍公屋
將軍澳中心,卯山酉向,將軍澳,2001,10000-14000,5,85,False,False,95,南豐,將軍澳中心管理,高,高,3.4,stable,中,將軍澳站頂屋苑
日出康城,卯山酉向,將軍澳,2010,11000-15000,4,85,False,False,95,港鐵,日出管理,高,高,3.2,stable,中,將軍澳大型新盤
都會駅,卯山酉向,調景嶺,2006,9000-13000,5,83,False,False,95,港鐵,都會管理,高,高,3.4,stable,低,調景嶺站頂屋苑
新都城,午山子向,將軍澳,1996,9000-13000,4,80,False,False,95,恒基,新都城管理,高,高,3.5,stable,中,將軍澳大型屋苑
寶盈花園,午山子向,將軍澳,1997,6000-9000,4,70,False,False,95,房委會,寶盈管理,中,中,3.7,stable,低,將軍澳居屋
藍灣半島,午山子向,柴灣,2001,10000-14000,4,80,True,False,18,信和,藍灣管理,高,中,3.3,stable,低,柴灣臨海屋苑
沙田第一城,乾山巽向,沙田,1983,10000-15000,4,80,False,True,91,恒基,第一城管理,中,高,3.8,stable,中,沙田大型屋苑
新峰花園,坤山艮向,大埔,1995,8000-12000,3,72,False,True,84,新鴻基,新峰管理,中,中,3.5,stable,低,大埔私人屋苑
錦英苑,午山子向,馬鞍山,1991,7000-10000,3,72,False,True,89,房委會,錦英管理,中,中,3.5,stable,低,馬鞍山居屋
中心圍村屋,艮山坤向,沙田,1980,5000-8000,2,60,False,True,91,私人,村屋管理,低,低,4.0,stable,低,沙田村屋
One Innovale,乾山巽向,粉嶺,2021,10000-14000,3,75,False,False,80,恒基,One Innovale管理,中,中,3.3,rising,中,粉嶺新盤
帝御,乾山巽向,屯門,2020,8000-12000,3,70,False,True,71,長江,帝御管理,中,中,3.4,rising,中,屯門青山公路新盤
美孚新邨,子山午向,荔枝角,1968,10000-14000,5,85,False,False,40,恒基,美孚管理,高,高,3.2,stable,低,荔枝角大型屋苑
昇悅居,子山午向,荔枝角,2003,11000-15000,4,80,False,False,40,新鴻基,昇悅居管理,中,中,3.3,stable,中,荔枝角私人屋苑
麗港城,子山午向,茶果嶺,1990,10000-14000,4,80,True,False,48,長江,麗港管理,高,高,3.5,stable,低,藍灣半島臨海屋苑
海怡半島,午山子向,鴨脷洲,1992,14000-19000,4,88,True,False,18,和黃,海怡管理,高,高,3.1,stable,低,鴨脷洲大型屋苑
求其苑,卯山酉向,元朗,1998,7000-10000,3,70,False,False,74,小型,求其管理,低,低,3.5,stable,低,元朗小型屋苑
聯和墟,乾山巽向,粉嶺,1990,7000-10000,3,70,False,False,81,房協,聯和墟管理,中,中,3.5,stable,低,粉嶺居屋
清水灣半島,午山子向,將軍澳,2002,9000-13000,4,80,True,False,95,新鴻基,清水管理,中,中,3.3,stable,低,將軍澳臨海屋苑
屯門市廣場,卯山酉向,屯門,1987,7000-10000,5,82,False,False,71,信和,屯門市管理,高,高,3.5,stable,低,屯門大型屋苑
瓏門,卯山酉向,屯門,2013,9000-13000,5,85,False,False,71,港鐵,瓏門管理,高,高,3.2,stable,低,屯門站頂屋苑
御海灣,卯山酉向,屯門,2016,10000-14000,4,82,True,False,71,新鴻基,御海管理,中,中,3.1,stable,低,屯門臨海新盤
富豪花園,乾山巽向,沙田,1982,9000-12000,4,78,False,True,91,恒基,富豪管理,中,中,3.5,stable,低,沙田私人屋苑
偉華中心,乾山巽向,沙田,1985,8000-11000,4,76,False,False,91,新鴻基,偉華管理,中,中,3.5,stable,低,沙田私人屋苑
沙田廣場,乾山巽向,沙田,1988,10000-13000,5,80,False,False,91,恒基,沙田廣場管理,高,高,3.4,stable,低,沙田站頂屋苑
好運中心,乾山巽向,沙田,1983,8000-11000,4,75,False,False,91,新鴻基,好運管理,中,高,3.5,stable,低,沙田私人屋苑
銀禧花園,乾山巽向,火炭,1985,9000-12000,3,74,False,True,91,長江,銀禧管理,中,中,3.5,stable,低,火炭私人屋苑
駿景園,乾山巽向,火炭,1996,11000-15000,3,78,False,True,91,新鴻基,駿景管理,中,中,3.3,stable,低,火炭私人屋苑
碧濤花園,乾山巽向,馬鞍山,1993,8000-11000,3,74,False,True,89,新鴻基,碧濤管理,中,中,3.5,stable,低,馬鞍山私人屋苑
雅典居,乾山巽向,馬鞍山,1998,9000-12000,3,76,False,True,89,恒基,雅典管理,中,中,3.4,stable,低,馬鞍山私人屋苑
海典居,乾山巽向,馬鞍山,2001,10000-14000,3,78,True,True,89,新鴻基,海典管理,中,中,3.3,stable,低,馬鞍山臨海屋苑
聽濤雅苑,乾山巽向,馬鞍山,1997,9000-12000,3,76,False,True,89,恒基,聽濤管理,中,中,3.4,stable,低,馬鞍山私人屋苑
觀瀾雅軒,乾山巽向,馬鞍山,2002,10000-13000,3,77,False,True,89,新鴻基,觀瀾管理,中,中,3.3,stable,低,馬鞍山私人屋苑
嵐岸,乾山巽向,馬鞍山,2008,11000-15000,3,80,True,True,89,信和,嵐岸管理,中,中,3.2,stable,低,馬鞍山臨海屋苑
迎濤灣,乾山巽向,馬鞍山,2003,10000-14000,3,78,True,True,89,長江,迎濤管理,中,中,3.3,stable,低,馬鞍山臨海屋苑
錦泰苑,午山子向,馬鞍山,2000,7000-10000,3,70,False,True,89,房委會,錦泰管理,中,高,3.5,stable,低,馬鞍山居屋
錦龍苑,午山子向,馬鞍山,1993,6000-9000,3,68,False,True,89,房委會,錦龍管理,中,中,3.6,stable,低,馬鞍山居屋
錦禧苑,午山子向,馬鞍山,1995,7000-10000,3,69,False,True,89,房委會,錦禧管理,中,中,3.5,stable,低,馬鞍山居屋
錦鞍苑,午山子向,馬鞍山,1991,6000-9000,3,68,False,True,89,房委會,錦鞍管理,中,中,3.6,stable,低,馬鞍山居屋
錦暉苑,午山子向,馬鞍山,1990,6000-9000,3,67,False,True,89,房委會,錦暉管理,中,中,3.6,stable,低,馬鞍山居屋
錦豐苑,午山子向,馬鞍山,1996,7000-10000,3,69,False,True,89,房委會,錦豐管理,中,中,3.5,stable,低,馬鞍山居屋
錦德苑,午山子向,馬鞍山,2019,8000-11000,3,72,False,True,89,房委會,錦德管理,中,中,3.3,stable,低,馬鞍山居屋
