name,district,facing,year_built,yun,property_type,address,confidence
藍澄灣,青衣,子山午向,2004,八運,住宅,青衣青衣路,high
美景花園,青衣,子山午向,1982,六運,住宅,青衣青康路,high
明翹匯,青衣,子山午向,2021,八運,住宅,青衣青衣路,high
宏福花園,青衣,子山午向,1995,七運,住宅,青衣青衣路,high
曉峰園,青衣,子山午向,1995,七運,住宅,青衣青衣路,high
偉景花園,青衣,子山午向,1991,七運,住宅,青衣青衣路,high
海悅花園,青衣,子山午向,1991,七運,住宅,青衣青衣路,high
青雅苑,青衣,子山午向,1992,七運,住宅,青衣青衣路,high
青衣邨,青衣,子山午向,1986,七運,住宅,青衣青綠街,high
長亨邨,青衣,子山午向,1990,七運,住宅,青衣青衣路,high
長宏邨,青衣,子山午向,2001,七運,住宅,青衣西草灣路,high
青鴻臺,青衣,子山午向,1999,七運,住宅,青衣青衣路,high
又一居,九龍塘,子山午向,1995,七運,住宅,九龍塘又一村道,high
畢架山一號,九龍塘,子山午向,2004,八運,住宅,九龍塘筆架山道,high
帝景峰,九龍塘,子山午向,2000,七運,住宅,九龍塘義德道,high
賢文禮士,九龍塘,子山午向,2018,八運,住宅,九龍塘賢文禮士路,high
延文禮士道,九龍塘,子山午向,2019,八運,住宅,九龍塘延文禮士道,high
瓏珀山,沙田,子山午向,2023,八運,住宅,沙田多石街,high
銀禧花園,火炭,子山午向,1985,七運,住宅,火炭樂景街,high
愉景新城,荃灣,子山午向,1997,七運,住宅,荃灣荃景圍,high
維港滙,南昌,午山子向,2023,八運,住宅,南昌荔盈街,high
逸瓏灣,白石角,午山子向,2015,八運,住宅,白石角科進路,high
世宙,元朗,午山子向,2017,八運,住宅,元朗元朗安寧路,high
瓏門,屯門,午山子向,2013,八運,住宅,屯門屯門鄉事會路,high
山景邨,屯門,午山子向,1983,六運,住宅,屯門旺賢街,high
上源,屯門,午山子向,2020,八運,住宅,屯門掃管笏路,high
栢慧豪園,天水圍,午山子向,2008,八運,住宅,天水圍天恩路,high
帝景園,中半山,午山子向,1996,七運,住宅,中半山舊山頂道,high
地利根德閣,中半山,午山子向,1995,七運,住宅,中半山地利根德里,high
裕景花園,中半山,午山子向,1988,七運,住宅,中半山司徒拔道,high
愛都大廈,中半山,午山子向,1983,六運,住宅,中半山寶雲道,high
世紀大廈,中半山,午山子向,1999,七運,住宅,中半山堅尼地道,high
地利根德閣3期,中半山,午山子向,2000,七運,住宅,中半山地利根德里,high
曉峰閣,中半山,子山午向,1996,七運,住宅,中半山寶雲道,high
樂天峰,中半山,酉山卯向,2010,八運,住宅,中半山樂活道,high
干德道38號,西半山,酉山卯向,2006,八運,住宅,西半山干德道,high
殷然,西半山,酉山卯向,2016,八運,住宅,西半山堅道,high
敦皓,西半山,酉山卯向,2016,八運,住宅,西半山寶珊道,high
Lexington Hill,西半山,酉山卯向,2014,八運,住宅,西半山堅尼地道,high
Kensington Hill,西半山,酉山卯向,2016,八運,住宅,西半山堅尼地道,high
蔚然,西半山,酉山卯向,2012,八運,住宅,西半山西摩道,high
瀚然,西半山,酉山卯向,2015,八運,住宅,西半山西摩道,high
懿峰,西半山,酉山卯向,2011,八運,住宅,西半山西摩道,high
縉城峰,西半山,酉山卯向,2009,八運,住宅,西半山堅道,high
雍景臺,西半山,酉山卯向,2000,七運,住宅,西半山羅便臣道,high
羅便臣道80號,西半山,酉山卯向,2001,七運,住宅,西半山羅便臣道,high
輝煌豪園,西半山,酉山卯向,2000,七運,住宅,西半山羅便臣道,high
半山壹號,西半山,酉山卯向,2006,八運,住宅,西半山羅便臣道,high
The Icon,西半山,酉山卯向,2010,八運,住宅,西半山干德道,high
Cluny Park,西半山,酉山卯向,2015,八運,住宅,西半山干德道,high
紀雲峰,灣仔,卯山酉向,2011,八運,住宅,灣仔活道,high
壹嘉,灣仔,卯山酉向,2014,八運,住宅,灣仔軒尼詩道,high
匯星壹號,灣仔,卯山酉向,2017,八運,住宅,灣仔皇后大道東,high
尚匯,灣仔,卯山酉向,2012,八運,住宅,灣仔晏頓街,high
嘉薈軒,灣仔,卯山酉向,2008,八運,住宅,灣仔莊士敦道,high
壹環,灣仔,卯山酉向,2014,八運,住宅,灣仔道,high
囍滙,灣仔,卯山酉向,2014,八運,住宅,灣仔皇后大道東,high
星街5號,灣仔,卯山酉向,2006,八運,住宅,灣仔星街,high
THE AVENUE,銅鑼灣,巽山乾向,2015,八運,住宅,銅鑼灣加路連山道,high
yoo Residence,銅鑼灣,巽山乾向,2012,八運,住宅,銅鑼灣禮頓道,high
雋琚,銅鑼灣,巽山乾向,2014,八運,住宅,銅鑼灣加路連山道,high
曦巒,銅鑼灣,巽山乾向,2012,八運,住宅,銅鑼灣希雲街,high
維多利中心,銅鑼灣,巽山乾向,1983,六運,住宅,銅鑼灣興發街,high
柏傲莊,沙田,艮山坤向,2023,八運,住宅,沙田大圍車公廟路,high
柏傲莊II,沙田,艮山坤向,2024,九運,住宅,沙田大圍車公廟路,high
柏傲莊III,沙田,艮山坤向,2024,九運,住宅,沙田大圍車公廟路,high
海日灣,大埔,艮山坤向,2019,八運,住宅,大埔白石角科進路,high
海日灣II,大埔,艮山坤向,2021,八運,住宅,大埔白石角科進路,high
雲滙,大埔,艮山坤向,2019,八運,住宅,大埔白石角科進路,high
嘉熙,大埔,艮山坤向,2019,八運,住宅,大埔白石角科進路,high
天賦海灣,大埔,艮山坤向,2014,八運,住宅,大埔白石角科進路,high
逸瓏灣,大埔,艮山坤向,2015,八運,住宅,大埔白石角科進路,high
溱岸8號,大埔,艮山坤向,2013,八運,住宅,大埔安慈路,high
嵐山,大埔,艮山坤向,2015,八運,住宅,大埔鳳園路,high
鹿茵山莊,大埔,艮山坤向,1998,七運,住宅,大埔鹿山路,high
